"","x"
"a25c","Sympathieskalometer: SPD"
"a25d","Sympathieskalometer: FDP"
"a25e","Sympathieskalometer: GRUENE"
"a25f","Sympathieskalometer: DIE LINKE"
"a26a","Sympathieskalometer: Merkel"
"a26b","Sympathieskalometer: Steinbrueck"
"a27a_1","Wichtigstes Problem (1. Codierung)"
"a27a_2","Wichtigstes Problem (2. Codierung)"
"a27a_3","Wichtigstes Problem (3. Codierung)"
"a27a_4","Wichtigstes Problem (4. Codierung)"
"a27as","Wichtigstes Problem (offene Nennung)"
"A27AS0","Wichtigstes Problem (offene Nennung)"
"A27AS1","Wichtigstes Problem (offene Nennung)"
"a27b_1","Zweitwichtigstes Problem (1. Codierung)"
"a27b_2","Zweitwichtigstes Problem (2. Codierung)"
"a27b_3","Zweitwichtigstes Problem (3. Codierung)"
"a27bs","Zweitwichtigstes Problem (offene Nennung)"
"A27BS0","Zweitwichtigstes Problem (offene Nennung)"
"a27c_1","Drittwichtigstes Problem (1. Codierung)"
"a27c_2","Drittwichtigstes Problem (2. Codierung)"
"a27c_3","Drittwichtigstes Problem (3. Codierung)"
"a27c_4","Drittwichtigstes Problem (4. Codierung)"
"a27cs","Drittwichtigstes Problem (offene Nennung)"
"A27CS0","Drittwichtigstes Problem (offene Nennung)"
"a28aa","Problemloesungskompetenz, 1. Problem (Version A)"
"a28ab","Problemloesungskompetenz, 1. Problem (Version B)"
"a28ba","Problemloesungskompetenz, 2. Problem (Version A)"
"a28bb","Problemloesungskompetenz, 2. Problem (Version B)"
"a28ca","Problemloesungskompetenz, 3. Problem (Version A)"
"a28cb","Problemloesungskompetenz, 3. Problem (Version B)"
"a29","Unterschiede Parteien"
"a30","Zufriedenheit: Bundesregierung"
"a31a","Glaubwuerdigkeit Wahlversprechen: CDU/CSU"
"a31b","Glaubwuerdigkeit Wahlversprechen: SPD"
"a32as","Gute Eigenschaften Merkel "
"a32bs","Schlechte Eigenschaften Merkel "
"A32BS0","Schlechte Eigenschaften Merkel "
"a33as","Gute Eigenschaften Steinbrueck "
"a33bs","Schlechte Eigenschaften Steinbrueck "
"A33BS0","Schlechte Eigenschaften Steinbrueck "
"a34a","Steuern vs. staatliche Leistungen: Merkel"
"a34b","Steuern vs. staatliche Leistungen: Steinbrueck"
"a34c","Steuern vs. staatliche Leistungen: Ego"
"a35a","Sicherheit vs. Privatsphaere: Merkel"
"a35b","Sicherheit vs. Privatsphaere: Steinbrueck"
"a35c","Sicherheit vs. Privatsphaere: Ego"
"a36a","Eigenschaften Merkel: gutes Wirtschaftskonzept"
"a36b","Eigenschaften Merkel: politisch vertrauenswuerdig"
"a36c","Eigenschaften Merkel: als Mensch sympathisch"
"a36d","Eigenschaften Merkel: denkt an Wohl des Menschen"
"a36e","Eigenschaften Merkel: entscheidungsfreudig"
"a36f","Eigenschaften Merkel: angenehme Ausstrahlung"
"a36g","Eigenschaften Merkel: fuehrungsstark"
"a36h","Eigenschaften Merkel: Problemloesungskompetenz"
"a36i","Eigenschaften Merkel: ehrlich"
"a36j","Eigenschaften Merkel: kuemmert sich um die Sorgen der Buerger"
"a37a","Eigenschaften Steinbrueck: gutes Wirtschaftskonzept"
"a37b","Eigenschaften Steinbrueck: politisch vertrauenswuerdig"
"a37c","Eigenschaften Steinbrueck: als Mensch sympathisch"
"a37d","Eigenschaften Steinbrueck: denkt an Wohl des Menschen"
"a37e","Eigenschaften Steinbrueck: entscheidungsfreudig"
"a37f","Eigenschaften Steinbrueck: angenehme Ausstrahlung"
"a37g","Eigenschaften Steinbrueck: fuehrungsstark"
"a37h","Eigenschaften Steinbrueck: Problemloesungskompetenz"
"a37i","Eigenschaften Steinbrueck: ehrlich"
"a37j","Eigenschaften Steinbrueck: kuemmert sich um die Sorgen der Buerger"
"a38","Kanzlerpraeferenz"
"a39a","Nutzungsmotiv TV-Duell: unterhaltsam"
"a39b","Nutzungsmotiv TV-Duell: Hilfe bei Wahlentscheidung"
"a39c","Nutzungsmotiv TV-Duell: muss man verfolgen, um mitreden zu koennen"
"a39d","Nutzungsmotiv TV-Duell: Freude, Merkel zu sehen"
"a39e","Nutzungsmotiv TV-Duell: Ideen der Kandidaten direkt miteinander vergleichen"
"a39f","Nutzungsmotiv TV-Duell: spannend"
"a39g","Nutzungsmotiv TV-Duell: gute Gelegenheit Bild von Persoenl. d. Kand. zu bekommen"
"a39h","Nutzungsmotiv TV-Duell: entspannend"
"a39i","Nutzungsmotiv TV-Duell: Show-Veranstaltung"
"a39j","Nutzungsmotiv TV-Duell: Freude, Steinbrueck zu sehen"
"a40a","Erwartete Debattenleistung: Merkel"
"a40b","Erwartete Debattenleistung: Steinbrueck"
"a41a","Wahlkampf: Parteien zu negativ"
"a41b","Wahlkampf: nur Personen im Vordergrund"
"a41c","Wahlkampf: zu wenig politische Inhalte"
"a42a","Internal political efficacy: Politik so kompliziert"
"a42b","Internal political efficacy: traue mir aktive politische Rolle zu"
"a42c","Internal political efficacy: kann politische Fragen gut verstehen"
"a42d","External political efficacy: Parteien wollen nur Waehlerstimmen"
"a42e","External political efficacy: Abgeordnete bemuehen sich um Buergerkontakt"
"a42f","External political efficacy: Politiker kuemmert, was einfache Leute denken"
"a43","Geschlecht"
"a44","Alter"
"a45","Schulabschluss"
"a46","Erwerbsstatus"
"a47a","Kompetenz: Anne Will"
"a47b","Kompetenz: Maybrit Illner"
"a47c","Kompetenz: Stefan Raab"
"a47d","Kompetenz: Peter Kloeppel"
"a48a","Glaubwuerdigkeit: Anne Will"
"a48b","Glaubwuerdigkeit: Maybrit Illner"
"a48c","Glaubwuerdigkeit: Stefan Raab"
"a48d","Glaubwuerdigkeit: Peter Kloeppel"
"a49a","Sympathie: Anne Will"
"a49b","Sympathie: Maybrit Illner"
"a49c","Sympathie: Stefan Raab"
"a49d","Sympathie: Peter Kloeppel"
"a50a","Fairness: Anne Will"
"a50b","Fairness: Maybrit Illner"
"a50c","Fairness: Stefan Raab"
"a50d","Fairness: Peter Kloeppel"
"a51a","Fragenqualitaet: Anne Will"
"a51b","Fragenqualitaet: Maybrit Illner"
"a51c","Fragenqualitaet: Stefan Raab"
"a51d","Fragenqualitaet: Peter Kloeppel"
"a52a","Mediennutzung: BILD"
"a52b","Mediennutzung: Frankfurter Rundschau"
"a52c","Mediennutzung: FAZ"
"a52d","Mediennutzung: SZ"
"a52e","Mediennutzung: taz"
"a52f","Mediennutzung: Die Welt"
"a52g","Mediennutzung: Allgemeine Zeitung Mainz"
"a52h","Mediennutzung: Rhein-Zeitung Koblenz"
"a52i","Mediennutzung: Die Rheinpfalz"
"a52j","Mediennutzung: Wiesbadener Kurier"
"a52k","Mediennutzung: Westfaelische Nachrichten"
"a52l","Mediennutzung: Muenstersche Zeitung"
"a53a","Mediennutzung: Tagesschau"
"a53b","Mediennutzung: heute"
"a53c","Mediennutzung: RTL Aktuell"
"a53d","Mediennutzung: Sat.1 Nachrichten"
"a53e","Mediennutzung: Pro7 Newstime"
"a54a","Parteiidentifikation (Version A)"
"a54b","Parteiidentifikation (Version B)"
"a55","Staerke Parteiidentifikation"
"a56a","Angst: Merkel"
"a56b","Aerger: Merkel"
"a56c","Hoffnung: Merkel"
"a56d","Freude: Merkel"
"a56e","Verachtung: Merkel"
"a56f","Wut: Merkel"
"a57a","Angst: Steinbrueck"
"a57b","Aerger: Steinbrueck"
"a57c","Hoffnung: Steinbrueck"
"a57d","Freude: Steinbrueck"
"a57e","Verachtung: Steinbrueck"
"a57f","Wut: Steinbrueck"
"a58a","Self Assessment Manikin (SAM): Stimmung"
"a58b","Self Assessment Manikin (SAM): Erregung"
"b70s","Gedanken waehrend Duell"
"B70S0","Gedanken waehrend Duell"
"B70S1","Gedanken waehrend Duell"
"B70S2","Gedanken waehrend Duell"
"B70S3","Gedanken waehrend Duell"
"b71s","Besondere Momente im Duell"
"B71S0","Besondere Momente im Duell"
"B71S1","Besondere Momente im Duell"
"B71S2","Besondere Momente im Duell"
"b40a","Debattenleistung: Merkel"
"b40b","Debattenleistung: Steinbrueck"
"b72","Debattenleistung: Bewertung Argumente"
"b73","Debattenleistung: Bewertung Ausstrahlung"
"b74","Debattenleistung: Bewertung Parteizugehoerigkeit"
"b75a","Spezifische Debattenleistung Merkel: geht auf die Argumente von Steinbrueck ein"
"b75b","Spezifische Debattenleistung Merkel: grosses Detailwissen"
"b75c","Spezifische Debattenleistung Merkel: sachlich"
"b75d","Spezifische Debattenleistung Merkel: muss sich oft verteidigen"
"b75e","Spezifische Debattenleistung Merkel: gute Rednerin"
"b75f","Spezifische Debattenleistung Merkel: ueberzeugende Argumente"
"b75g","Spezifische Debattenleistung Merkel: angenehme Stimme"
"b75h","Spezifische Debattenleistung Merkel: verspricht sich oft"
"b75i","Spezifische Debattenleistung Merkel: versucht, fuer ihre Politik zu werben"
"b75j","Spezifische Debattenleistung Merkel: greift Steinbrueck haeufig an"
"b75k","Spezifische Debattenleistung Merkel: laechelt haeufig"
"b75l","Spezifische Debattenleistung Merkel: nickt haeufig"
"b75m","Spezifische Debattenleistung Merkel: runzelt oft die Stirn"
"b75n","Spezifische Debattenleistung Merkel: Haltung wirkt entspannt"
"b76a","Spezifische Debattenleistung Steinbrueck: geht auf die Argumente von Merkel ein"
"b76b","Spezifische Debattenleistung Steinbrueck: grosses Detailwissen"
"b76c","Spezifische Debattenleistung Steinbrueck: sachlich"
"b76d","Spezifische Debattenleistung Steinbrueck: muss sich oft verteidigen"
"b76e","Spezifische Debattenleistung Steinbrueck: gute Rednerin"
"b76f","Spezifische Debattenleistung Steinbrueck: ueberzeugende Argumente"
"b76g","Spezifische Debattenleistung Steinbrueck: angenehme Stimme"
"b76h","Spezifische Debattenleistung Steinbrueck: verspricht sich oft"
"b76i","Spezifische Debattenleistung Steinbrueck: versucht, fuer ihre Politik zu werben"
"b76j","Spezifische Debattenleistung Steinbrueck: greift Merkel haeufig an"
"b76k","Spezifische Debattenleistung Steinbrueck: laechelt haeufig"
"b76l","Spezifische Debattenleistung Steinbrueck: nickt haeufig"
"b76m","Spezifische Debattenleistung Steinbrueck: runzelt oft die Stirn"
"b76n","Spezifische Debattenleistung Steinbrueck: Haltung wirkt entspannt"
"b2","Interesse Bundestagswahlkampf"
"b3","Wahlbeteiligungsabsicht"
"b4a_v1","Wahlabsicht (Version A)"
"b4b_v1","Wahlabsicht (Version B)"
"b4a_v2","Wahlabsicht Brief(Version A)"
"b4b_v2","Wahlabsicht Brief (Version B)"
"b5","Sicherheit Wahlabsicht"
"b6","Eigene wirtschaftliche Lage: retrospektiv"
"b7","Verantwortung Bundesregierung: Entwicklung eigene wirtschaftliche Lage"
"b8","Eigene wirtschaftliche Lage: aktuell"
"b9","Eigene wirtschaftliche Lage: prospektiv"
"b10","Allgemeine wirtschaftliche Lage: retrospektiv"
"b11","Verantwortung Bundesregierung: Entwicklung allgemeine wirtschaftliche Lage"
"b12","Allgemeine wirtschaftliche Lage: aktuell"
"b13","Allgemeine wirtschaftliche Lage: prospektiv"
"b14","EU wirtschaftliche Lage: retrospektiv"
"b15","Verantwortung Bundesregierung: Entwicklung EU wirtschaftliche Lage"
"b16","EU wirtschaftliche Lage: aktuell"
"b17","EU wirtschaftliche Lage: prospektiv"
"b18s","Wissen: Arbeitslosenzahl "
"b18_v1","Wissen: Arbeitslosenzahl richtig/falsch"
"b19","Wissen: Entwicklung Arbeitslosigkeit"
"b20","Wissen: SPD Mindeslohn"
"b21s","Wissen: Erwerbstaetige "
"b21_v1","Wissen: Erwerbstaetige richtig/falsch"
"b22s","Wissen: Neuverschuldung "
"b22_v1","Wissen: Neuverschuldung richtig/falsch"
"b77","Recall: erste Frage"
"b78","Recall: mehr Redezeit"
"b25a","Sympathieskalometer: CDU"
"b25b","Sympathieskalometer: CSU"
"b25c","Sympathieskalometer: SPD"
"b25d","Sympathieskalometer: FDP"
"b25e","Sympathieskalometer: GRUENE"
"b25f","Sympathieskalometer: DIE LINKE"
"b26a","Sympathieskalometer: Merkel"
"b26b","Sympathieskalometer: Steinbrueck"
"b27a_1","Wichtigstes Problem (1. Codierung)"
"b27a_2","Wichtigstes Problem (2. Codierung)"
"b27a_3","Wichtigstes Problem (3. Codierung)"
"b27as","Wichtigstes Problem (offene Nennung)"
"b27b_1","Zweitwichtigstes Problem (1. Codierung)"
"b27b_2","Zweitwichtigstes Problem (2. Codierung)"
"b27b_3","Zweitwichtigstes Problem (3. Codierung)"
"b27bs","Zweitwichtigstes Problem (offene Nennung)"
"B27BS0","Zweitwichtigstes Problem (offene Nennung)"
"b27c_1","Drittwichtigstes Problem (1. Codierung)"
"b27c_2","Drittwichtigstes Problem (2. Codierung)"
"b27c_3","Drittwichtigstes Problem (3. Codierung)"
"b27cs","Drittwichtigstes Problem (offene Nennung)"
"B27CS0","Drittwichtigstes Problem (offene Nennung)"
"b28aa","Problemloesungskompetenz, 1. Problem (Version A)"
"b28ab","Problemloesungskompetenz, 1. Problem (Version B)"
"b28ba","Problemloesungskompetenz, 2. Problem (Version A)"
"b28bb","Problemloesungskompetenz, 2. Problem (Version B)"
"b28ca","Problemloesungskompetenz, 3. Problem (Version A)"
"b28cb","Problemloesungskompetenz, 3. Problem (Version B)"
"b29","Unterschiede Parteien"
"b30","Zufriedenheit: Bundesregierung"
"b31a","Glaubwuerdigkeit Wahlversprechen: CDU/CSU"
"b31b","Glaubwuerdigkeit Wahlversprechen: SPD"
"b32as","Gute Eigenschaften Merkel "
"B32AS0","Gute Eigenschaften Merkel "
"b32bs","Schlechte Eigenschaften Merkel "
"B32BS0","Schlechte Eigenschaften Merkel "
"b33as","Gute Eigenschaften Steinbrueck "
"b33bs","Schlechte Eigenschaften Steinbrueck "
"b34a","Steuern vs. staatliche Leistungen: Merkel"
"b34b","Steuern vs. staatliche Leistungen: Steinbrueck"
"b34c","Steuern vs. staatliche Leistungen: Ego"
"b35a","Sicherheit vs. Privatsphaere: Merkel"
"b35b","Sicherheit vs. Privatsphaere: Steinbrueck"
"b35c","Sicherheit vs. Privatsphaere: Ego"
"b79","Duell: Vertreten eigener politischer Ansichten"
"b36a","Eigenschaften Merkel: gutes Wirtschaftskonzept"
"b36b","Eigenschaften Merkel: politisch vertrauenswuerdig"
"b36c","Eigenschaften Merkel: als Mensch sympathisch"
"b36d","Eigenschaften Merkel: denkt an Wohl des Menschen"
"b36e","Eigenschaften Merkel: entscheidungsfreudig"
"b36f","Eigenschaften Merkel: angenehme Ausstrahlung"
"b36g","Eigenschaften Merkel: fuehrungsstark"
"b36h","Eigenschaften Merkel: Problemloesungskompetenz"
"b36i","Eigenschaften Merkel: ehrlich"
"b36j","Eigenschaften Merkel: kuemmert sich um die Sorgen der Buerger"
"b37a","Eigenschaften Steinbrueck: gutes Wirtschaftskonzept"
"b37b","Eigenschaften Steinbrueck: politisch vertrauenswuerdig"
"b37c","Eigenschaften Steinbrueck: als Mensch sympathisch"
"b37d","Eigenschaften Steinbrueck: denkt an Wohl des Menschen"
"b37e","Eigenschaften Steinbrueck: entscheidungsfreudig"
"b37f","Eigenschaften Steinbrueck: angenehme Ausstrahlung"
"b37g","Eigenschaften Steinbrueck: fuehrungsstark"
"b37h","Eigenschaften Steinbrueck: Problemloesungskompetenz"
"b37i","Eigenschaften Steinbrueck: ehrlich"
"b37j","Eigenschaften Steinbrueck: kuemmert sich um die Sorgen der Buerger"
"b38","Kanzlerpraeferenz"
"b39a","Nutzungsmotiv TV-Duell: unterhaltsam"
"b39b","Nutzungsmotiv TV-Duell: Hilfe bei Wahlentscheidung"
"b39c","Nutzungsmotiv TV-Duell: muss man verfolgen, um mitreden zu koennen"
"b39d","Nutzungsmotiv TV-Duell: Freude, Merkel zu sehen"
"b39e","Nutzungsmotiv TV-Duell: Ideen der Kandidaten direkt miteinander vergleichen"
"b39f","Nutzungsmotiv TV-Duell: spannend"
"b39g","Nutzungsmotiv TV-Duell: gute Gelegenheit Bild von Persoenl. d. Kand. zu bekommen"
"b39h","Nutzungsmotiv TV-Duell: entspannend"
"b39i","Nutzungsmotiv TV-Duell: Show-Veranstaltung"
"b39j","Nutzungsmotiv TV-Duell: Freude, Steinbrueck zu sehen"
"b39k","Nutzungsmotiv TV-Duell: Wenn gesehen (Kontrollgruppe)"
"b41a","Wahlkampf: Parteien zu negativ"
"b41b","Wahlkampf: nur Personen im Vordergrund"
"b41c","Wahlkampf: zu wenig politische Inhalte"
"b42a","Internal political efficacy: Politik so kompliziert"
"b42b","Internal political efficacy: traue mir aktive politische Rolle zu"
"b42c","Internal political efficacy: kann politische Fragen gut verstehen"
"b42d","External political efficacy: Parteien wollen nur Waehlerstimmen"
"b42e","External political efficacy: Abgeordnete bemuehen sich um Buergerkontakt"
"b42f","External political efficacy: Politiker kuemmert, was einfache Leute denken"
"b47a","Kompetenz: Anne Will"
"b47b","Kompetenz: Maybrit Illner"
"b47c","Kompetenz: Stefan Raab"
"b47d","Kompetenz: Peter Kloeppel"
"b48a","Glaubwuerdigkeit: Anne Will"
"b48b","Glaubwuerdigkeit: Maybrit Illner"
"b48c","Glaubwuerdigkeit: Stefan Raab"
"b48d","Glaubwuerdigkeit: Peter Kloeppel"
"b49a","Sympathie: Anne Will"
"b49b","Sympathie: Maybrit Illner"
"b49c","Sympathie: Stefan Raab"
"b49d","Sympathie: Peter Kloeppel"
"b50a","Fairness: Anne Will"
"b50b","Fairness: Maybrit Illner"
"b50c","Fairness: Stefan Raab"
"b50d","Fairness: Peter Kloeppel"
"b51a","Fragenqualitaet: Anne Will"
"b51b","Fragenqualitaet: Maybrit Illner"
"b51c","Fragenqualitaet: Stefan Raab"
"b51d","Fragenqualitaet: Peter Kloeppel"
"b56a","Angst: Merkel"
"b56b","Aerger: Merkel"
"b56c","Hoffnung: Merkel"
"b56d","Freude: Merkel"
"b56e","Verachtung: Merkel"
"b56f","Wut: Merkel"
"b57a","Angst: Steinbrueck"
"b57b","Aerger: Steinbrueck"
"b57c","Hoffnung: Steinbrueck"
"b57d","Freude: Steinbrueck"
"b57e","Verachtung: Steinbrueck"
"b57f","Wut: Steinbrueck"
"b58a","Self Assessment Manikin (SAM): Stimmung"
"b58b","Self Assessment Manikin (SAM): Erregung"
"c71","Besondere Momente im Duell"
"C710","Besondere Momente im Duell"
"C711","Besondere Momente im Duell"
"C712","Besondere Momente im Duell"
"c40a","Debattenleistung: Merkel"
"c40b","Debattenleistung: Steinbrueck"
"c2","Interesse Bundestagswahlkampf"
"c3","Wahlbeteiligungsabsicht"
"c4a_v1","Wahlabsicht (Version A)"
"c4b_v1","Wahlabsicht (Version B)"
"c4a_v2","Wahlabsicht Brief (Version A)"
"c4b_v2","Wahlabsicht Brief (Version B)"
"c5","Sicherheit Wahlabsicht"
"c6","Eigene wirtschaftliche Lage: retrospektiv"
"c7","Verantwortung Bundesregierung: Entwicklung eigene wirtschaftliche Lage"
"c8","Eigene wirtschaftliche Lage: aktuell"
"c9","Eigene wirtschaftliche Lage: prospektiv"
"c10","Allgemeine wirtschaftliche Lage: retrospektiv"
"c11","Verantwortung Bundesregierung: Entwicklung allgemeine wirtschaftliche Lage"
"c12","Allgemeine wirtschaftliche Lage: aktuell"
"c13","Allgemeine wirtschaftliche Lage: prospektiv"
"c14","EU wirtschaftliche Lage: retrospektiv"
"c15","Verantwortung Bundesregierung: Entwicklung EU wirtschaftliche Lage"
"c16","EU wirtschaftliche Lage: aktuell"
"c17","EU wirtschaftliche Lage: prospektiv"
"c25a","Sympathieskalometer: CDU"
"c25b","Sympathieskalometer: CSU"
"c25c","Sympathieskalometer: SPD"
"c25d","Sympathieskalometer: FDP"
"c25e","Sympathieskalometer: GRUENE"
"c25f","Sympathieskalometer: DIE LINKE"
"c26a","Sympathieskalometer: Merkel"
"c26b","Sympathieskalometer: Steinbrueck"
"c27a_1","Wichtigstes Problem (1. Codierung)"
"c27a_2","Wichtigstes Problem (2. Codierung)"
"c27a_3","Wichtigstes Problem (3. Codierung)"
"c27as","Wichtigstes Problem (offene Nennung)"
"c27b_1","Zweitwichtigstes Problem (1. Codierung)"
"c27b_2","Zweitwichtigstes Problem (2. Codierung)"
"c27b_3","Zweitwichtigstes Problem (3. Codierung)"
"c27bs","Zweitwichtigstes Problem (offene Nennung)"
"c27c_1","Drittwichtigstes Problem (1. Codierung)"
"c27c_2","Drittwichtigstes Problem (2. Codierung)"
"c27c_3","Drittwichtigstes Problem (3. Codierung)"
"c27cs","Drittwichtigstes Problem (offene Nennung)"
"c28aa","Problemloesungskompetenz, 1. Problem (Version A)"
"c28ab","Problemloesungskompetenz, 1. Problem (Version B)"
"c28ba","Problemloesungskompetenz, 2. Problem (Version A)"
"c28bb","Problemloesungskompetenz, 2. Problem (Version B)"
"c28ca","Problemloesungskompetenz, 3. Problem (Version A)"
"c28cb","Problemloesungskompetenz, 3. Problem (Version B)"
"c29","Unterschiede Parteien"
"c30a","Zufriedenheit: Bundesregierung"
"c31a","Glaubwuerdigkeit Wahlversprechen: CDU/CSU"
"c31b","Glaubwuerdigkeit Wahlversprechen: SPD"
"c32as","Gute Eigenschaften Merkel "
"c32bs","Schlechte Eigenschaften Merkel "
"c33as","Gute Eigenschaften Steinbrueck "
"c33bs","Schlechte Eigenschaften Steinbrueck "
"C33BS0","Schlechte Eigenschaften Steinbrueck "
"c36a","Eigenschaften Merkel: gutes Wirtschaftskonzept"
"c36b","Eigenschaften Merkel: politisch vertrauenswuerdig"
"c36c","Eigenschaften Merkel: als Mensch sympathisch"
"c36d","Eigenschaften Merkel: denkt an Wohl des Menschen"
"c36e","Eigenschaften Merkel: entscheidungsfreudig"
"c36f","Eigenschaften Merkel: angenehme Ausstrahlung"
"c36g","Eigenschaften Merkel: fuehrungsstark"
"c36h","Eigenschaften Merkel: Problemloesungskompetenz"
"c36i","Eigenschaften Merkel: ehrlich"
"c36j","Eigenschaften Merkel: kuemmert sich um die Sorgen der Buerger"
"c37a","Eigenschaften Steinbrueck: gutes Wirtschaftskonzept"
"c37b","Eigenschaften Steinbrueck: politisch vertrauenswuerdig"
"c37c","Eigenschaften Steinbrueck: als Mensch sympathisch"
"c37d","Eigenschaften Steinbrueck: denkt an Wohl des Menschen"
"c37e","Eigenschaften Steinbrueck: entscheidungsfreudig"
"c37f","Eigenschaften Steinbrueck: angenehme Ausstrahlung"
"c37g","Eigenschaften Steinbrueck: fuehrungsstark"
"c37h","Eigenschaften Steinbrueck: Problemloesungskompetenz"
"c37i","Eigenschaften Steinbrueck: ehrlich"
"c37j","Eigenschaften Steinbrueck: kuemmert sich um die Sorgen der Buerger"
"c38","Kanzlerpraeferenz"
"c39a","Nutzungsmotiv TV-Duell: unterhaltsam"
"c39b","Nutzungsmotiv TV-Duell: Hilfe bei Wahlentscheidung"
"c39c","Nutzungsmotiv TV-Duell: muss man verfolgen, um mitreden zu koennen"
"c39e","Nutzungsmotiv TV-Duell: Ideen der Kandidaten direkt miteinander vergleichen"
"c39f","Nutzungsmotiv TV-Duell: spannend"
"c39g","Nutzungsmotiv TV-Duell: gute Gelegenheit Bild von Persoenl. d. Kand. zu bekommen"
"c39h","Nutzungsmotiv TV-Duell: entspannend"
"c39i","Nutzungsmotiv TV-Duell: Show-Veranstaltung"
"c41a","Wahlkampf: Parteien zu negativ"
"c41b","Wahlkampf: nur Personen im Vordergrund"
"c41c","Wahlkampf: zu wenig politische Inhalte"
"c80a","Wahrgenommener Tenor der Presseberichterstattung: Debattenleistung Merkel"
"c80b","Wahrgenommener Tenor der Presseberichterstattung: Debattenleistung Steinbrueck"
"c81a","Wahrgenommener Tenor der Fernsehberichtersattung: Debattenleistung Merkel"
"c81b","Wahrgenommener Tenor der Fernsehberichtersattung: Debattenleistung Steinbrueck"
"c82","Erinnertes Ergebnis der Umfragen"
"c83","Interpersonale Kommunikation TV-Duell"
"c84a","Interpersonale Kommunikation TV-Duell: wahrgenommenes Abschneiden Merkel"
"c84b","Interpersonale Kommunikation TV-Duell: wahrgenommenes Abschneiden Steinbrueck"
"c85","Facebook-Profil vorhanden"
"c86","Anzahl Facebook Eintraegen: Fernsehdebatte"
"c87a","Facebook: wahrgenommenes Abschneiden Merkel"
"c87b","Facebook: wahrgenommenes Abschneiden Steinbrueck"
"c88","Twitter-Profil vorhanden"
"c89","Anzahl Twitter Eintraegen: Fernsehdebatte"
"c90a","Twitter: wahrgenommenes Abschneiden Merkel"
"c90b","Twitter: wahrgenommenes Abschneiden Steinbrueck"
"c91a","Wahrgenommener Berichterstattung: Langeweile"
"c91b","Wahrgenommener Berichterstattung: Information"
"c51a","Fragenqualitaet: Anne Will"
"c51b","Fragenqualitaet: Maybrit Illner"
"c51c","Fragenqualitaet: Stefan Raab"
"c51d","Fragenqualitaet: Peter Kloeppel"
"c_datum","Ausfuelldatum des Befragten  3. Welle"
"c200","Versanddatum 3. Welle"
"d40a","Debattenleistung: Merkel"
"d40b","Debattenleistung: Steinbrueck"
"d3","Recall: Wahlbeteiligung BTW 2013"
"d4a","Recall: Wahlentscheidung BTW 2013 (Version A)"
"d4b","Recall: Wahlentscheidung BTW 2013 (Version B)"
"d25a","Sympathieskalometer: CDU"
"d25b","Sympathieskalometer: CSU"
"d25c","Sympathieskalometer: SPD"
"d25d","Sympathieskalometer: FDP"
"d25e","Sympathieskalometer: GRUENE"
"d25f","Sympathieskalometer: DIE LINKE"
"d26a","Sympathieskalometer: Merkel"
"d26b","Sympathieskalometer: Steinbrueck"
"d27a_1","Wichtigstes Problem (1. Codierung)"
"d27a_2","Wichtigstes Problem (2. Codierung)"
"d27as","Wichtigstes Problem (offene Nennung)"
